,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
275,3100 Block of WEBSTER ST,NON-CRIMINAL,2014-09-23,Tuesday,LOST PROPERTY,140806114,"{u'latitude': u'37.799403168775', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.434203435941'}",NORTHERN,NONE,21:00,-122.434203436,37.7994031688
276,2100 Block of MISSION ST,OTHER OFFENSES,2003-10-17,Friday,PROBATION VIOLATION,31223859,"{u'latitude': u'37.7628776667056', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419528998826'}",MISSION,"ARREST, BOOKED",19:10,-122.419528999,37.7628776667
277,FOLSOM ST / 25TH ST,ASSAULT,2008-11-02,Sunday,AGGRAVATED ASSAULT WITH A KNIFE,81174092,"{u'latitude': u'37.7509035118202', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413926655862'}",MISSION,NONE,15:50,-122.413926656,37.7509035118
278,400 Block of TOWNSEND ST,SUSPICIOUS OCC,2006-04-12,Wednesday,SUSPICIOUS OCCURRENCE,60390227,"{u'latitude': u'37.7744749193206', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398389903403'}",SOUTHERN,NONE,06:35,-122.398389903,37.7744749193
279,200 Block of CRESTMONT DR,BURGLARY,2011-01-13,Thursday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",110040320,"{u'latitude': u'37.75664997762', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.45971647828'}",PARK,NONE,06:15,-122.459716478,37.7566499776
280,HEMLOCK ST / LARKIN ST,PROSTITUTION,2004-01-23,Friday,SOLICITS FOR ACT OF PROSTITUTION,40089826,"{u'latitude': u'37.7874861572042', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418368839172'}",NORTHERN,"ARREST, CITED",18:00,-122.418368839,37.7874861572
281,100 Block of JEFFERSON ST,TRESPASS,2013-05-28,Tuesday,TRESPASSING,130439509,"{u'latitude': u'37.8082613305439', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414988252591'}",CENTRAL,NONE,10:03,-122.414988253,37.8082613305
282,0 Block of CAYUGA AV,ASSAULT,2014-04-29,Tuesday,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",140356103,"{u'latitude': u'37.7313929909192', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.430217632285'}",INGLESIDE,NONE,06:00,-122.430217632,37.7313929909
283,800 Block of BRYANT ST,WARRANTS,2005-02-26,Saturday,WARRANT ARREST,50224595,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,"ARREST, BOOKED",16:55,-122.403404791,37.7754207067
284,1200 Block of TURK ST,NON-CRIMINAL,2012-12-07,Friday,"AIDED CASE, MENTAL DISTURBED",120986162,"{u'latitude': u'37.7808642652455', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.428818526724'}",NORTHERN,PSYCHOPATHIC CASE,00:01,-122.428818527,37.7808642652
285,200 Block of GEARY ST,LARCENY/THEFT,2012-06-16,Saturday,GRAND THEFT PICKPOCKET,120475529,"{u'latitude': u'37.7875158741623', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407434989523'}",CENTRAL,NONE,15:30,-122.40743499,37.7875158742
286,0 Block of KISKA RD,SUSPICIOUS OCC,2008-12-22,Monday,SUSPICIOUS OCCURRENCE,81360699,"{u'latitude': u'37.7304096808335', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.378494173975'}",BAYVIEW,NONE,11:50,-122.378494174,37.7304096808
287,VIRGINIA AV / MISSION ST,OTHER OFFENSES,2011-05-15,Sunday,TRAFFIC VIOLATION,110391747,"{u'latitude': u'37.74312201456', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421488652002'}",INGLESIDE,"ARREST, CITED",11:35,-122.421488652,37.7431220146
288,0 Block of MASONIC AV,BURGLARY,2009-10-26,Monday,"BURGLARY OF STORE, UNLAWFUL ENTRY",91103837,"{u'latitude': u'37.7824869629764', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.447335040314'}",RICHMOND,"ARREST, BOOKED",15:41,-122.44733504,37.782486963
289,1300 Block of FOLSOM ST,LARCENY/THEFT,2011-10-15,Saturday,GRAND THEFT FROM LOCKED AUTO,110832995,"{u'latitude': u'37.773566042081', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411966317054'}",SOUTHERN,"ARREST, CITED",20:43,-122.411966317,37.7735660421
290,600 Block of POST ST,LARCENY/THEFT,2012-04-13,Friday,PETTY THEFT FROM A BUILDING,120302944,"{u'latitude': u'37.7877770164282', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41201048788'}",CENTRAL,NONE,16:30,-122.412010488,37.7877770164
291,1500 Block of VANNESS AV,FORGERY/COUNTERFEITING,2009-08-07,Friday,"CHECKS, MAKE OR PASS FICTITIOUS",90803159,"{u'latitude': u'37.7899200014841', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.422062730264'}",NORTHERN,"ARREST, BOOKED",14:41,-122.42206273,37.7899200015
292,3RD ST / NEWCOMB AV,OTHER OFFENSES,2004-07-04,Sunday,VIOLATION OF RESTRAINING ORDER,40761654,"{u'latitude': u'37.7355926106176', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.390416955517'}",BAYVIEW,"ARREST, BOOKED",17:13,-122.390416956,37.7355926106
293,1100 Block of BRYANT ST,LARCENY/THEFT,2010-01-27,Wednesday,GRAND THEFT FROM LOCKED AUTO,106013389,"{u'latitude': u'37.771094695464', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408881224226'}",SOUTHERN,NONE,18:20,-122.408881224,37.7710946955
294,LANGTON ST / FOLSOM ST,OTHER OFFENSES,2003-05-14,Wednesday,RESISTING ARREST,30592243,"{u'latitude': u'37.7763172146026', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408383373137'}",SOUTHERN,"ARREST, BOOKED",19:14,-122.408383373,37.7763172146
295,3RD ST / NEWCOMB AV,ASSAULT,2009-12-26,Saturday,AGGRAVATED ASSAULT WITH A KNIFE,91311187,"{u'latitude': u'37.7355926105862', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.390416955474'}",BAYVIEW,NONE,02:10,-122.390416955,37.7355926106
296,1700 Block of LASALLE AV,OTHER OFFENSES,2013-09-25,Wednesday,PAROLE VIOLATION,130809093,"{u'latitude': u'37.7381270935013', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.391434800433'}",BAYVIEW,"ARREST, BOOKED",18:09,-122.3914348,37.7381270935
297,3200 Block of CALIFORNIA ST,SECONDARY CODES,2008-08-25,Monday,PREJUDICE-BASED INCIDENT,80902131,"{u'latitude': u'37.787207821057', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.447657570247'}",RICHMOND,PROSECUTED BY OUTSIDE AGENCY,15:06,-122.44765757,37.7872078211
298,1000 Block of POTRERO AV,ASSAULT,2008-08-14,Thursday,AGGRAVATED ASSAULT WITH A GUN,100409065,"{u'latitude': u'37.7564864109309', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406539115148'}",MISSION,NONE,00:01,-122.406539115,37.7564864109
299,100 Block of SAN BRUNO AV,SUSPICIOUS OCC,2003-05-15,Thursday,SUSPICIOUS OCCURRENCE,30599299,"{u'latitude': u'37.7678408217525', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.405698615346'}",MISSION,NONE,23:25,-122.405698615,37.7678408218
300,1100 Block of CLAY ST,ASSAULT,2003-10-21,Tuesday,BATTERY,31239953,"{u'latitude': u'37.7934242351246', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412458134878'}",CENTRAL,NONE,23:40,-122.412458135,37.7934242351
301,0 Block of IRON AL,LARCENY/THEFT,2010-01-13,Wednesday,GRAND THEFT FROM LOCKED AUTO,106008164,"{u'latitude': u'37.7580987015771', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.444675094931'}",PARK,NONE,20:00,-122.444675095,37.7580987016
302,BUCHANAN ST / MAGNOLIA ST,LARCENY/THEFT,2003-09-25,Thursday,GRAND THEFT FROM LOCKED AUTO,31135759,"{u'latitude': u'37.8007724795702', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.432864313478'}",NORTHERN,NONE,23:15,-122.432864313,37.8007724796
303,1500 Block of BAY SHORE BL,FRAUD,2009-11-01,Sunday,"CREDIT CARD, THEFT BY USE OF",91127304,"{u'latitude': u'37.7245556697717', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.401096851568'}",BAYVIEW,NONE,12:06,-122.401096852,37.7245556698
304,MCALLISTER ST / GOUGH ST,LARCENY/THEFT,2009-10-27,Tuesday,PETTY THEFT FROM LOCKED AUTO,91108417,"{u'latitude': u'37.779672005548', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.423545232042'}",NORTHERN,JUVENILE BOOKED,17:02,-122.423545232,37.7796720055
305,800 Block of SUTTER ST,VANDALISM,2012-10-07,Sunday,"MALICIOUS MISCHIEF, VANDALISM",126152553,"{u'latitude': u'37.7885452792081', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414390137578'}",CENTRAL,NONE,20:20,-122.414390138,37.7885452792
306,500 Block of DIAMOND ST,VEHICLE THEFT,2010-07-23,Friday,STOLEN AUTOMOBILE,100681097,"{u'latitude': u'37.7531389468206', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.43642004447'}",MISSION,NONE,12:30,-122.436420044,37.7531389468
307,HAHN ST / SUNNYDALE AV,ROBBERY,2007-08-06,Monday,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,70797033,"{u'latitude': u'37.7119155437754', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416000227907'}",INGLESIDE,NONE,17:05,-122.416000228,37.7119155438
308,2000 Block of MISSION ST,DRUG/NARCOTIC,2003-08-12,Tuesday,POSSESSION OF BASE/ROCK COCAINE,30950798,"{u'latitude': u'37.7642205603745', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41965834371'}",MISSION,"ARREST, BOOKED",07:37,-122.419658344,37.7642205604
309,1100 Block of MASONIC AV,NON-CRIMINAL,2012-03-07,Wednesday,"CIVIL SIDEWALKS, CITATION",120190200,"{u'latitude': u'37.7706583273482', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.445506610652'}",PARK,NONE,16:55,-122.445506611,37.7706583273
310,100 Block of LARKIN ST,LARCENY/THEFT,2010-08-19,Thursday,PETTY THEFT BICYCLE,100760823,"{u'latitude': u'37.7791387543353', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416607695115'}",NORTHERN,NONE,10:00,-122.416607695,37.7791387543
311,100 Block of EDDY ST,DRUG/NARCOTIC,2008-05-31,Saturday,SALE OF BASE/ROCK COCAINE,80571946,"{u'latitude': u'37.7841889075267', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410135236377'}",TENDERLOIN,"ARREST, BOOKED",16:55,-122.410135236,37.7841889075
312,600 Block of 32ND AV,FORGERY/COUNTERFEITING,2005-03-09,Wednesday,"CHECKS, FORGERY (FELONY)",50266343,"{u'latitude': u'37.7768766735218', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.491956779206'}",RICHMOND,"ARREST, CITED",09:15,-122.491956779,37.7768766735
313,22ND ST / MINNESOTA ST,ROBBERY,2011-06-22,Wednesday,ROBBERY ON THE STREET WITH A GUN,110503629,"{u'latitude': u'37.7578266137987', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.39021463885'}",BAYVIEW,COMPLAINANT REFUSES TO PROSECUTE,22:45,-122.390214639,37.7578266138
314,SAN JOSE AV / GENEVA AV,MISSING PERSON,2004-12-08,Wednesday,MISSING JUVENILE,41395971,"{u'latitude': u'37.7207231269114', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.446607214924'}",INGLESIDE,LOCATED,07:45,-122.446607215,37.7207231269
315,3000 Block of 16TH ST,SUICIDE,2005-08-21,Sunday,SUICIDE BY JUMPING,50937293,"{u'latitude': u'37.764910844226', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421082850193'}",MISSION,NONE,10:05,-122.42108285,37.7649108442
316,SOUTH VAN NESS AV / 21ST ST,LARCENY/THEFT,2006-08-24,Thursday,PETTY THEFT FROM LOCKED AUTO,60906824,"{u'latitude': u'37.7571677817188', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416720982004'}",MISSION,NONE,11:00,-122.416720982,37.7571677817
317,3400 Block of 19TH ST,LARCENY/THEFT,2004-11-22,Monday,GRAND THEFT OF PROPERTY,41336436,"{u'latitude': u'37.7601791935819', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421047623733'}",MISSION,NONE,10:30,-122.421047624,37.7601791936
318,POLK ST / WASHINGTON ST,LARCENY/THEFT,2010-10-18,Monday,GRAND THEFT FROM LOCKED AUTO,106132280,"{u'latitude': u'37.7932574953959', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421231781955'}",NORTHERN,NONE,00:01,-122.421231782,37.7932574954
319,1000 Block of POTRERO AV,WARRANTS,2014-09-18,Thursday,WARRANT ARREST,140785875,"{u'latitude': u'37.7564864109309', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406539115148'}",MISSION,"ARREST, BOOKED",01:58,-122.406539115,37.7564864109
320,100 Block of OFARRELL ST,OTHER OFFENSES,2010-03-08,Monday,POSSESSION OF BURGLARY TOOLS,100223075,"{u'latitude': u'37.7865647607685', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407244087032'}",TENDERLOIN,"ARREST, BOOKED",16:00,-122.407244087,37.7865647608
321,3200 Block of 20TH AV,WARRANTS,2010-01-29,Friday,WARRANT ARREST,100096305,"{u'latitude': u'37.7285280627465', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.475647460786'}",TARAVAL,"ARREST, BOOKED",14:45,-122.475647461,37.7285280627
322,EDDY ST / POLK ST,WEAPON LAWS,2005-11-18,Friday,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,51306043,"{u'latitude': u'37.7830998244363', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419183096369'}",NORTHERN,NONE,22:20,-122.419183096,37.7830998244
323,9TH AV / IRVING ST,WEAPON LAWS,2013-09-28,Saturday,"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE",130820306,"{u'latitude': u'37.7640368477306', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.466309668238'}",TARAVAL,"ARREST, BOOKED",18:55,-122.466309668,37.7640368477
324,0 Block of POWELL ST,ROBBERY,2012-02-15,Wednesday,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,120129196,"{u'latitude': u'37.7850943210103', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407845374111'}",TENDERLOIN,EXCEPTIONAL CLEARANCE,12:16,-122.407845374,37.785094321
325,0 Block of MAIDEN LN,LARCENY/THEFT,2010-09-01,Wednesday,"THEFT, GRAND, BY FIDUCIARY, >$400 IN 12 MONTHS",100806267,"{u'latitude': u'37.7882726542513', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40435958711'}",CENTRAL,"ARREST, BOOKED",15:28,-122.404359587,37.7882726543
326,3RD ST / WILLIAMS AV,OTHER OFFENSES,2007-06-25,Monday,TRAFFIC VIOLATION,70642137,"{u'latitude': u'37.7292804432175', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.392625489263'}",BAYVIEW,"ARREST, CITED",20:50,-122.392625489,37.7292804432
327,800 Block of BRYANT ST,FRAUD,2007-02-20,Tuesday,"CREDIT CARD, THEFT BY USE OF",70502848,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,00:02,-122.403404791,37.7754207067
328,300 Block of CAMPBELL AV,MISSING PERSON,2005-07-22,Friday,MISSING JUVENILE,50822105,"{u'latitude': u'37.7143907158603', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403653913795'}",INGLESIDE,LOCATED,19:00,-122.403653914,37.7143907159
329,1500 Block of FILLMORE ST,FORGERY/COUNTERFEITING,2006-09-30,Saturday,"CHECKS, MAKE OR PASS FICTITIOUS",70034346,"{u'latitude': u'37.7838424505847', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.432743822617'}",NORTHERN,NONE,12:00,-122.432743823,37.7838424506
330,0 Block of KEZAR DR,DRUG/NARCOTIC,2006-08-11,Friday,POSSESSION OF HALLUCINOGENIC FOR SALES,60850851,"{u'latitude': u'37.7695200227183', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.45512727517'}",PARK,"ARREST, BOOKED",15:40,-122.455127275,37.7695200227
331,200 Block of GEARY ST,LARCENY/THEFT,2010-12-21,Tuesday,GRAND THEFT PICKPOCKET,101174469,"{u'latitude': u'37.7875158741623', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407434989523'}",CENTRAL,NONE,20:00,-122.40743499,37.7875158742
332,300 Block of POWELL ST,LARCENY/THEFT,2012-03-16,Friday,GRAND THEFT SHOPLIFTING,120215717,"{u'latitude': u'37.7878271137225', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408384275542'}",CENTRAL,NONE,12:27,-122.408384276,37.7878271137
333,VANNESS AV / LOMBARD ST,VANDALISM,2005-12-13,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",51399838,"{u'latitude': u'37.8013041477751', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.424541870491'}",NORTHERN,NONE,13:00,-122.42454187,37.8013041478
334,1700 Block of LASALLE AV,OTHER OFFENSES,2009-01-11,Sunday,PAROLE VIOLATION,90037900,"{u'latitude': u'37.7381270935013', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.391434800433'}",BAYVIEW,"ARREST, BOOKED",21:00,-122.3914348,37.7381270935
335,OAKDALE AV / MENDELL ST,DRUG/NARCOTIC,2009-11-14,Saturday,POSSESSION OF HEROIN,91173874,"{u'latitude': u'37.7345993533477', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.390346724675'}",BAYVIEW,"ARREST, BOOKED",14:36,-122.390346725,37.7345993533
336,2400 Block of LOMBARD ST,LARCENY/THEFT,2009-08-25,Tuesday,GRAND THEFT FROM LOCKED AUTO,96074879,"{u'latitude': u'37.7990019436809', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.441811628041'}",NORTHERN,NONE,16:45,-122.441811628,37.7990019437
337,0 Block of RAUSCH ST,BURGLARY,2013-02-01,Friday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",130092254,"{u'latitude': u'37.7765102599173', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.409662731398'}",SOUTHERN,NONE,08:00,-122.409662731,37.7765102599
338,5200 Block of DIAMONDHEIGHTS BL,LARCENY/THEFT,2010-09-23,Thursday,PETTY THEFT SHOPLIFTING,100882370,"{u'latitude': u'37.7442774766877', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.439065944959'}",INGLESIDE,NONE,00:15,-122.439065945,37.7442774767
339,1900 Block of LARKIN ST,NON-CRIMINAL,2007-05-02,Wednesday,"DEATH REPORT, CAUSE UNKNOWN",70449375,"{u'latitude': u'37.7956830656712', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419955910836'}",NORTHERN,NONE,06:30,-122.419955911,37.7956830657
340,23RD ST / WISCONSIN ST,WARRANTS,2007-02-20,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,70185080,"{u'latitude': u'37.7547456011189', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398695589689'}",BAYVIEW,"ARREST, BOOKED",11:58,-122.39869559,37.7547456011
341,MARIPOSA ST / ILLINOIS ST,LARCENY/THEFT,2013-07-17,Wednesday,GRAND THEFT FROM LOCKED AUTO,136123936,"{u'latitude': u'37.7643790292129', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.38792119559'}",BAYVIEW,NONE,18:00,-122.387921196,37.7643790292
342,17TH ST / FOLSOM ST,PROSTITUTION,2003-06-18,Wednesday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,30732386,"{u'latitude': u'37.7636979308928', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415155941062'}",MISSION,"ARREST, CITED",21:00,-122.415155941,37.7636979309
343,ELLIS ST / LEAVENWORTH ST,WEAPON LAWS,2003-02-27,Thursday,LOITERING WHILE CARRYING CONCEALED WEAPON,30240919,"{u'latitude': u'37.7846576329026', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41443315507'}",TENDERLOIN,"ARREST, CITED",01:55,-122.414433155,37.7846576329
344,100 Block of CORA ST,VEHICLE THEFT,2010-09-04,Saturday,STOLEN AUTOMOBILE,100819947,"{u'latitude': u'37.7108998031899', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.409259392917'}",INGLESIDE,NONE,18:00,-122.409259393,37.7108998032
345,1200 Block of ATHENS ST,MISSING PERSON,2006-05-27,Saturday,FOUND PERSON,60563446,"{u'latitude': u'37.7121332410964', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.436700562163'}",INGLESIDE,NONE,08:00,-122.436700562,37.7121332411
346,GEARY ST / KEARNY ST,WARRANTS,2005-04-28,Thursday,ENROUTE TO OUTSIDE JURISDICTION,50469826,"{u'latitude': u'37.7876430501571', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403434086753'}",CENTRAL,"ARREST, BOOKED",10:40,-122.403434087,37.7876430502
347,WEBSTER ST / OFARRELL ST,OTHER OFFENSES,2014-11-14,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",140965607,"{u'latitude': u'37.7835058263734', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.430992409047'}",NORTHERN,"ARREST, CITED",14:04,-122.430992409,37.7835058264
348,0 Block of LATONA ST,DRUG/NARCOTIC,2004-10-09,Saturday,POSSESSION OF BASE/ROCK COCAINE,41156171,"{u'latitude': u'37.7316182572491', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.392627218053'}",BAYVIEW,"ARREST, BOOKED",16:15,-122.392627218,37.7316182572
349,300 Block of EDDY ST,MISSING PERSON,2007-07-13,Friday,MISSING ADULT,70906115,"{u'latitude': u'37.7838365565348', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413790972781'}",TENDERLOIN,NONE,20:00,-122.413790973,37.7838365565
350,300 Block of SAN JOSE AV,DRUG/NARCOTIC,2006-11-07,Tuesday,POSSESSION OF HEROIN,61189102,"{u'latitude': u'37.7494022896942', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421406672969'}",MISSION,"ARREST, BOOKED",13:55,-122.421406673,37.7494022897
